region,lat_zone,model,horizon,PR_AUC,NAP,Base,ROC_AUC,Brier,BSS,n_samples,n_pos
Central West,Far North,GRU_no_prior,7,0.28329770729445075,0.1409398223444006,0.16571351885795593,0.6704238823450067,0.13965200017872792,-0.010122424770593552,22382,3709
Central West,Mid,GRU_no_prior,7,0.35379992581438297,0.2258987470057094,0.16522538661956787,0.7581708683200469,0.12764913560138236,0.07450969134222252,47874,7910
Central West,North,GRU_no_prior,7,0.24589451236289114,0.12308728199253607,0.14004498720169067,0.7337294748326336,0.11635964492813897,0.0338177201756491,24892,3486
Central West,South,GRU_no_prior,7,0.23879405946497975,0.07833327236197135,0.17409849166870117,0.6055313320158515,0.14912036583250152,-0.03708344172248501,2579,449
CentralWest_Mid+South,COMBINED,GRU_no_prior,7,0.2808388432018187,0.13790538927019766,0.1657978743314743,0.6759407551058875,0.1358731788361372,0.017610997358178615,50453,8365
East,Far North,GRU_no_prior,7,0.35857022441245495,0.24438900787466936,0.15111111104488373,0.6394278479280018,0.1425250793883401,-0.11107670835151184,675,102
East,Mid,GRU_no_prior,7,0.30667595534999953,0.16731018120331334,0.16736817359924316,0.662426260264333,0.14909577311493236,-0.06989080243670642,25184,4215
East,North,GRU_no_prior,7,0.08832021398576531,0.04193937271452944,0.04841117560863495,0.6612770196490384,0.046118584105394635,-0.0011081749954549025,23445,1135
East,South,GRU_no_prior,7,0.28391339361812507,0.1263939925814237,0.18030942976474762,0.5858414432665158,0.1505109991924815,-0.018356575748450288,3555,641
East_NorthBand,COMBINED,GRU_no_prior,7,0.13886796161331788,0.0950586888854427,0.04841117560863495,0.7379512752820193,0.04462822150876746,0.031243515936365984,23445,1135
Midwest,Far North,GRU_no_prior,7,0.4121924462222093,0.29610164746379086,0.16492551565170288,0.765380301188513,0.1254828402346225,0.08888901210470801,16177,2668
Midwest,Mid,GRU_no_prior,7,0.28614637652514685,0.13909450711381258,0.17081069946289062,0.6526899428565704,0.13758374208053023,0.028599416424760604,19144,3270
