tag,region,lat_zone,n_intervals,gap_median,P_le_30,cum30,cum60
West_Mid,West,Mid,5222,57.0,0.3611643048640368,0.3611643048640368,0.514745308310992
West_North,West,North,2269,245.0,0.15469369766416924,0.1546936976641692,0.2468047598060819
Central_West_Mid+South,Central,West_Mid+South,1557,349.0,0.11560693641618497,0.1156069364161849,0.1888246628131021
Central_West_Mid,Central,West_Mid,1480,335.5,0.12027027027027028,0.1202702702702702,0.1939189189189189
Central_West_North,Central,West_North,679,481.0,0.06480117820324006,0.06480117820324,0.117820324005891
West_Far_North,West,Far_North,661,657.0,0.06354009077155824,0.0635400907715582,0.1119515885022692
Midwest_Far_North,Midwest,Far_North,561,210.0,0.1889483065953654,0.1889483065953654,0.249554367201426
Central_West_Far_North,Central,West_Far_North,550,331.0,0.12727272727272726,0.1272727272727272,0.2018181818181818
Coast_Mid,Coast,Mid,513,307.0,0.13840155945419103,0.138401559454191,0.2007797270955165
Midwest_North,Midwest,North,499,271.0,0.1342685370741483,0.1342685370741483,0.2104208416833667
Midwest_Mid,Midwest,Mid,494,437.0,0.07489878542510121,0.0748987854251012,0.117408906882591
Coast_South,Coast,South,238,433.5,0.0546218487394958,0.0546218487394958,0.1176470588235294
North_East_NorthBand,North,East_NorthBand,235,424.0,0.09361702127659574,0.0936170212765957,0.1276595744680851
East_Mid,East,Mid,227,550.0,0.06607929515418502,0.066079295154185,0.1013215859030837
North_East_North,North,East_North,219,400.0,0.0958904109589041,0.0958904109589041,0.1324200913242009
East_South,East,South,199,367.0,0.07537688442211055,0.0753768844221105,0.1457286432160804
Coast_Far_North,Coast,Far_North,135,332.0,0.16296296296296298,0.1629629629629629,0.1925925925925926
East_NorthBand,East,NorthBand,79,733.0,0.06329113924050633,0.0632911392405063,0.0632911392405063
East_North,East,North,78,733.0,0.0641025641025641,0.0641025641025641,0.0641025641025641
Central_West_South,Central,West_South,77,643.0,0.025974025974025976,0.0259740259740259,0.0909090909090909
Midwest_South,Midwest,South,70,695.0,0.05714285714285714,0.0571428571428571,0.0857142857142857
Coast_North,Coast,North,50,458.5,0.06,0.06,0.08
North_East_Far_North,North,East_Far_North,16,557.5,0.0625,0.0625,0.0625
East_Far_North,East,Far_North,1,343.0,0.0,0.0,0.0
