region,lat_zone,k_days,model,rule,threshold,coverage,precision,recall,f1,accuracy,tpr,tnr,fpr,tp,fp,fn,tn
Central West,Far North,7,GRU_with_prior,fixed_precision,0.1,0.31172370654990617,0.30113229181596674,0.5664599622539768,0.3932247800860939,0.7103029219908855,0.5664599622539768,0.7388743105017941,0.26112568949820597,2101,4876,1608,13797
Central West,Mid,7,GRU_with_prior,fixed_precision,0.11,0.3748381167230647,0.30437447757035385,0.6905183312262958,0.42251015277509185,0.6881188118811881,0.6905183312262958,0.6876438794915424,0.3123561205084576,5462,12483,2448,27481
Central West,North,7,GRU_with_prior,fixed_precision,0.11,0.1598907279447212,0.3037688442211055,0.346815834767642,0.32386820251808196,0.7972039209384542,0.346815834767642,0.8705503129963562,0.12944968700364384,1209,2771,2277,18635
Central West,South,7,GRU_with_prior,fixed_precision,0.105,0.23497479643272587,0.3102310231023102,0.41870824053452116,0.3563981042654028,0.7367196587824738,0.41870824053452116,0.8037558685446009,0.19624413145539907,188,418,261,1712
CentralWest_Mid+South,COMBINED,7,GRU_with_prior,fixed_precision,0.115,0.32691812181634394,0.3000485024857524,0.5916317991631799,0.3981656542901967,0.7034665926704061,0.5916317991631799,0.7256937844516251,0.2743062155483748,4949,11545,3416,30543
East,Far North,7,GRU_with_prior,fixed_precision,0.025,0.2074074074074074,0.35,0.4803921568627451,0.4049586776859504,0.7866666666666666,0.4803921568627451,0.8411867364746946,0.15881326352530542,49,91,53,482
East,Mid,7,GRU_with_prior,fixed_precision,0.05,0.19397236340533672,0.30726714431934493,0.3561091340450771,0.32989010989010986,0.7578621346886912,0.3561091340450771,0.8386189136344127,0.1613810863655873,1501,3384,2714,17585
East,North,7,GRU_with_prior,fixed_precision,0.115,0.017701002345915973,0.3036144578313253,0.11101321585903083,0.1625806451612903,0.9446363830240989,0.11101321585903083,0.9870461676378306,0.01295383236216943,126,289,1009,22021
East,South,7,GRU_with_prior,fixed_precision,0.155,0.1569620253164557,0.3064516129032258,0.2667706708268331,0.28523769808173477,0.7589310829817159,0.2667706708268331,0.8671928620452986,0.13280713795470145,171,387,470,2527
East_NorthBand,COMBINED,7,GRU_with_prior,top_k_per_mille,0.245,0.0009810194071230539,0.13043478260869565,0.0026431718061674008,0.005181347150259067,0.9508637236084453,0.0026431718061674008,0.9991035410129987,0.0008964589870013447,3,20,1132,22290
Midwest,Far North,7,GRU_with_prior,fixed_precision,0.08,0.40007417939049267,0.3054697156983931,0.7410044977511244,0.4326039387308534,0.6794214007541571,0.7410044977511244,0.6672588644607299,0.3327411355392701,1977,4495,691,9014
Midwest,Mid,7,GRU_with_prior,fixed_precision,0.165,0.18303384872544923,0.3002283105022831,0.3217125382262997,0.31059935045763215,0.756059339740911,0.3217125382262997,0.8455335769182311,0.15446642308176892,1052,2452,2218,13422
Midwest,North,7,GRU_with_prior,fixed_precision,0.155,0.19284717144186664,0.30093071354705275,0.4594736842105263,0.363674234534472,0.7969155088745596,0.4594736842105263,0.8456973293768546,0.1543026706231454,873,2028,1027,11115
Midwest,South,7,GRU_with_prior,fixed_precision,0.155,0.061279960464541636,0.32661290322580644,0.12254160363086233,0.1782178217821782,0.815418828762046,0.12254160363086233,0.9506792675723568,0.04932073242764324,81,167,580,3219
North East,Far North,7,GRU_with_prior,fixed_precision,0.155,0.03656509695290859,0.3333333333333333,0.0842911877394636,0.13455657492354742,0.843213296398892,0.0842911877394636,0.9715025906735751,0.02849740932642487,22,44,239,1500
North East,North,7,GRU_with_prior,fixed_precision,0.12,0.25397930760047754,0.30500065282673977,0.5584508725794884,0.3945279513595676,0.7622363708714683,0.5584508725794884,0.7950564047279868,0.20494359527201325,2336,5323,1847,20650
NorthEast_NorthBand,COMBINED,7,GRU_with_prior,fixed_precision,0.115,0.23732048434028974,0.3121951219512195,0.5328532853285328,0.3937151882949538,0.7718156503238321,0.5328532853285328,0.8104081113493476,0.18959188865065232,2368,5217,2076,22300
South,Far North,7,GRU_with_prior,fixed_precision,0.06,0.2597544338335607,0.3017331932773109,0.5841382816471784,0.3979220779220779,0.7628240109140518,0.5841382816471784,0.7905144567872056,0.20948554321279445,1149,2659,818,10034
South,Mid,7,GRU_with_prior,fixed_precision,0.065,0.38466115702479337,0.30740804400137506,0.6631442343344457,0.42008220786846745,0.6735206611570248,0.6631442343344457,0.6757724493080142,0.32422755069198583,3577,8059,1817,16797
South,North,7,GRU_with_prior,fixed_precision,0.065,0.011957162953215047,0.3055028462998102,0.15525554484088716,0.20588235294117643,0.9718201207060853,0.15525554484088716,0.9914956897553268,0.008504310244673189,161,366,876,42671
South,South,7,GRU_with_prior,fixed_precision,0.13,0.2165176740752891,0.3071969696969697,0.3721890775585131,0.336584353600332,0.7378003772656442,0.3721890775585131,0.817355702017176,0.18264429798282406,811,1829,1368,8185
West,Far North,7,GRU_with_prior,fixed_precision,0.185,0.008507467320768777,0.3029197080291971,0.01696300837931739,0.0321269595509967,0.844723196820567,0.01696300837931739,0.9930072490298015,0.006992750970198433,83,191,4810,27123
West,Mid,7,GRU_with_prior,fixed_precision,0.0,1.0,0.44795974337324895,1.0,0.6187461294050297,0.44795974337324895,1.0,0.0,1.0,145371,179147,0,0
West,North,7,GRU_with_prior,fixed_precision,0.04,0.857184612078229,0.30374478498074453,0.9811461336616023,0.4638806564507853,0.39817751987964756,0.9811461336616023,0.18759361542782252,0.8124063845721775,30287,69425,582,16031
