region,lat_zone,rule,threshold,coverage,precision,recall,f1,accuracy,tpr,tnr,fpr,tp,fp,fn,tn
Central West,Far North,fixed_precision,0.13333333333333333,0.1873072625698324,0.3323789071820568,0.3473815461346633,0.3397146689428119,0.7579888268156425,0.3473815461346633,0.8476449768581541,0.1523550231418459,1393.0,2798.0,2617.0,15567.0
CentralWest_Mid+South,COMBINED,fixed_precision,0.1,0.43258193064890266,0.3126632751271827,0.7495056031641397,0.44125351702726295,0.6574674359126866,0.7495056031641397,0.6372015385731911,0.36279846142680894,6822.0,14997.0,2280.0,26340.0
Central West,Mid,fixed_precision,0.13333333333333333,0.2970121186794818,0.32099894477664437,0.5302730970366066,0.39991235758106924,0.7138737985791893,0.5302730970366066,0.75412049420456,0.24587950579544007,4563.0,9652.0,4042.0,29603.0
Central West,North,fixed_precision,0.2,0.02126975191990672,0.34782608695652173,0.0507446221731936,0.08856799037304453,0.8477343090346187,0.0507446221731936,0.9837608849140974,0.016239115085902565,184.0,345.0,3442.0,20900.0
Central West,South,fixed_precision,0.16666666666666666,0.07793718495540908,0.4427860696517413,0.18388429752066116,0.25985401459854013,0.8034121752617294,0.18388429752066116,0.9465393794749404,0.05346062052505966,89.0,112.0,395.0,1983.0
East,Far North,fixed_precision,0.03333333333333333,0.1259259259259259,0.47058823529411764,0.3669724770642202,0.41237113402061853,0.8311111111111111,0.3669724770642202,0.9204946996466431,0.07950530035335689,40.0,45.0,69.0,521.0
East,Mid,fixed_precision,0.1,0.07139447935725081,0.3097493036211699,0.12363798087613966,0.1767323585505404,0.7939702489857609,0.12363798087613966,0.9399854686364737,0.060014531363526274,556.0,1239.0,3941.0,19406.0
East_NorthBand,COMBINED,fixed_precision,0.13333333333333333,0.010381520892810797,0.3,0.06201550387596899,0.10278372591006424,0.9456267843239035,0.06201550387596899,0.992348681513868,0.007651318486131985,72.0,168.0,1089.0,21789.0
East,North,top_k_per_mille,0.26666666666666666,0.0009948957522277013,0.045454545454545456,0.0008613264427217916,0.0016906170752324597,0.9489142659399602,0.0008613264427217916,0.9990435851892335,0.0009564148107664981,1.0,21.0,1160.0,21936.0
East,South,fixed_precision,0.2,0.04022503516174402,0.4755244755244755,0.0975609756097561,0.1619047619047619,0.8019690576652602,0.0975609756097561,0.9737578726382086,0.026242127361791462,68.0,75.0,629.0,2783.0
Midwest,Far North,fixed_precision,0.1,0.36406926406926404,0.35586886359775777,0.7177115450496745,0.47581194640018165,0.7145330859616574,0.7177115450496745,0.7138329182703192,0.2861670817296808,2095.0,3792.0,824.0,9459.0
Midwest,Mid,fixed_precision,0.13333333333333333,0.36520875790353763,0.30376305623122046,0.6007357102433503,0.40349710158699986,0.6719966556931598,0.6007357102433503,0.6881368967506248,0.3118631032493751,2123.0,4866.0,1411.0,10737.0
Midwest,North,fixed_precision,0.16666666666666666,0.2200174297781055,0.3217550274223035,0.49162011173184356,0.3889502762430939,0.7775692163303614,0.49162011173184356,0.825671548280993,0.17432845171900696,1056.0,2226.0,1092.0,10543.0
Midwest,South,top_k_per_mille,0.23333333333333334,0.0009918175055789735,0.0,0.0,0.0,0.8301512521696008,0.0,0.999104744852283,0.0008952551477170994,0.0,3.0,682.0,3348.0
North East,Far North,fixed_precision,0.3333333333333333,0.0016620498614958448,0.6666666666666666,0.007462686567164179,0.014760147601476014,0.8520775623268698,0.007462686567164179,0.9993493819128172,0.0006506180871828237,2.0,1.0,266.0,1536.0
NorthEast_NorthBand,COMBINED,fixed_precision,0.13333333333333333,0.11238071320944248,0.3455307262569832,0.25447438798601113,0.2930932353986495,0.8126883475640382,0.25447438798601113,0.913206149286905,0.08679385071309502,1237.0,2343.0,3624.0,24652.0
North East,North,fixed_precision,0.13333333333333333,0.1560014641775648,0.37606655290102387,0.3838449814935772,0.37991595733218403,0.8084922298758777,0.3838449814935772,0.8851048786236154,0.11489512137638463,1763.0,2925.0,2830.0,22533.0
Coast,Far North,fixed_precision,0.1,0.11764304246893349,0.3255948926291352,0.2714078374455733,0.29604221635883904,0.817834220947699,0.2714078374455733,0.907623817473567,0.09237618252643294,561.0,1162.0,1506.0,11417.0
Coast,Mid,fixed_precision,0.06666666666666667,0.4101188702360849,0.30243823671887615,0.6425385934819897,0.4112867808519982,0.6449124201185391,0.6425385934819897,0.6454802839440319,0.35451971605596816,3746.0,8640.0,2084.0,15731.0
Coast,North,top_k_per_mille,0.03333333333333333,0.0009928193761400107,0.13106796116504854,0.02551984877126654,0.04272151898734178,0.9720625245318741,0.02551984877126654,0.9957636144179112,0.0042363855820888455,27.0,179.0,1031.0,42074.0
Coast,South,fixed_precision,0.13333333333333333,0.2257905138339921,0.31035740335521517,0.3547311379741559,0.3310639953316476,0.7168148880105402,0.3547311379741559,0.8059517701385326,0.19404822986146741,851.0,1891.0,1548.0,7854.0
West,Far North,fixed_precision,0.26666666666666666,0.00046573726208588194,0.6666666666666666,0.0019219680953296175,0.0038328861632809506,0.8386065141118391,0.0019219680953296175,0.9998148422455932,0.00018515775440675454,10.0,5.0,5193.0,26999.0
West,Mid,fixed_precision,0.0,1.0,0.4999044613469101,1.0,0.6665817380101626,0.4999044613469101,1.0,0.0,1.0,162207.0,162269.0,0.0,0.0
West,North,fixed_precision,0.0,1.0,0.3002846503788172,1.0,0.46187525214780323,0.3002846503788172,1.0,0.0,1.0,34918.0,81365.0,0.0,0.0
